. </s> | 1.0
<s> The | 0.27
, the | 0.18181818181818182
in the | 0.38461538461538464
'' . | 0.4411764705882353
of the | 0.208955223880597
<s> `` | 0.08
'' , | 0.20588235294117646
the jury | 0.0546875
jury said | 0.4117647058823529
Fulton County | 0.42857142857142855
The jury | 0.21428571428571427
the election | 0.046875
<s> It | 0.06
at the | 0.6666666666666666
that the | 0.17857142857142858
the Fulton | 0.0390625
, and | 0.056818181818181816
, `` | 0.045454545454545456
of Georgia's | 0.05970149253731343
to the | 0.07272727272727272
should be | 0.6666666666666666
the State | 0.03125
said . | 0.16666666666666666
on the | 0.4444444444444444
has been | 0.4
will be | 0.2857142857142857
, who | 0.045454545454545456
a candidate | 0.08
Highway Department | 1.0
